generation,mode,n_simulated,surrogate_rho,train_time_s,total_sims_saved
208,surrogate,20,,0.13,68000
209,surrogate,20,,0.12,68400
210,control,100,0.8080,3.33,68400
211,surrogate,20,,0.13,68800
212,surrogate,20,,0.12,69200
213,surrogate,20,,0.12,69600
214,surrogate,20,,0.12,70000
215,surrogate,20,,0.12,70400
216,surrogate,20,,0.12,70800
217,surrogate,20,,0.13,71200
218,surrogate,20,,0.12,71600
219,surrogate,20,,0.12,72000
220,control,100,0.6063,8.08,72000
221,surrogate,20,,0.13,72400
222,surrogate,20,,0.11,72800
223,surrogate,20,,0.12,73200
224,surrogate,20,,0.13,73600
225,surrogate,20,,0.15,74000
226,surrogate,20,,0.12,74400
227,surrogate,20,,0.14,74800
228,surrogate,20,,0.12,75200
229,surrogate,20,,0.14,75600
230,control,100,0.8632,7.41,75600
231,surrogate,20,,0.12,76000
232,surrogate,20,,0.12,76400
233,surrogate,20,,0.12,76800
234,surrogate,20,,0.12,77200
235,surrogate,20,,0.12,77600
236,surrogate,20,,0.13,78000
237,surrogate,20,,0.12,78400
238,surrogate,20,,0.12,78800
239,surrogate,20,,0.13,79200
240,control,100,0.8629,4.02,79200
241,surrogate,20,,0.12,79600
242,surrogate,20,,0.12,80000
243,surrogate,20,,0.12,80400
244,surrogate,20,,0.12,80800
245,surrogate,20,,0.12,81200
246,surrogate,20,,0.14,81600
247,surrogate,20,,0.12,82000
248,surrogate,20,,0.12,82400
249,surrogate,20,,0.12,82800
250,control,100,0.6219,3.73,82800
251,surrogate,20,,0.14,83200
252,surrogate,20,,0.14,83600
253,surrogate,20,,0.11,84000
254,surrogate,20,,0.11,84400
255,surrogate,20,,0.13,84800
256,surrogate,20,,0.12,85200
257,surrogate,20,,0.14,85600
258,surrogate,20,,0.13,86000
259,surrogate,20,,0.12,86400
260,control,100,0.8512,8.31,86400
261,surrogate,20,,0.12,86800
262,surrogate,20,,0.13,87200
263,surrogate,20,,0.13,87600
264,surrogate,20,,0.12,88000
265,surrogate,20,,0.12,88400
266,surrogate,20,,0.12,88800
267,surrogate,20,,0.12,89200
268,surrogate,20,,0.14,89600
269,surrogate,20,,0.12,90000
270,control,100,0.6762,9.27,90000
271,surrogate,20,,0.12,90400
272,surrogate,20,,0.12,90800
273,surrogate,20,,0.13,91200
274,surrogate,20,,0.13,91600
275,surrogate,20,,0.12,92000
276,surrogate,20,,0.14,92400
277,surrogate,20,,0.13,92800
278,surrogate,20,,0.13,93200
279,surrogate,20,,0.14,93600
280,control,100,0.8920,5.01,93600
281,surrogate,20,,0.10,94000
282,surrogate,20,,0.13,94400
283,surrogate,20,,0.13,94800
284,surrogate,20,,0.12,95200
285,surrogate,20,,0.12,95600
286,surrogate,20,,0.12,96000
287,surrogate,20,,0.12,96400
288,surrogate,20,,0.12,96800
289,surrogate,20,,0.11,97200
290,control,100,0.8261,8.62,97200
291,surrogate,20,,0.14,97600
292,surrogate,20,,0.12,98000
293,surrogate,20,,0.12,98400
294,surrogate,20,,0.13,98800
295,surrogate,20,,0.12,99200
296,surrogate,20,,0.13,99600
297,surrogate,20,,0.12,100000
298,surrogate,20,,0.12,100400
299,surrogate,20,,0.12,100800
