generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s
173,7.302400,7.282000,24.45,7644.76
174,7.302400,7.264800,24.48,7669.24
175,7.350000,7.350000,24.14,7693.38
176,7.350000,7.202800,24.36,7717.73
177,7.350000,7.329200,24.42,7742.15
178,7.350000,7.327800,24.55,7766.71
179,7.350000,7.259200,24.81,7791.51
180,7.350000,7.227200,117.65,7909.16
181,7.374200,7.374200,26.38,7935.54
182,7.374200,7.329000,24.68,7960.22
183,7.374200,7.246200,24.18,7984.40
184,7.374200,7.290200,24.49,8008.89
185,7.374200,7.299400,24.12,8033.01
186,7.374200,7.304200,24.37,8057.38
187,7.374200,7.284000,25.87,8083.24
188,7.374200,7.283200,24.70,8107.94
189,7.374200,7.240000,24.30,8132.24
190,7.374200,7.297600,117.63,8249.87
191,7.374200,7.262800,25.65,8275.52
192,7.374200,7.304000,24.70,8300.22
193,7.374200,7.249000,24.41,8324.63
194,7.374200,7.294000,24.26,8348.89
195,7.374200,7.268000,53.61,8402.50
196,7.374200,7.305000,24.44,8426.94
197,7.374200,7.310200,25.00,8451.94
198,7.374200,7.305400,24.53,8476.47
199,7.374200,7.296000,24.33,8500.80
200,7.390600,7.390600,119.31,8620.11
201,7.390600,7.274400,25.86,8645.97
202,7.390600,7.321400,24.42,8670.40
203,7.390600,7.288000,24.42,8694.82
204,7.390600,7.336200,24.35,8719.17
205,7.390600,7.333600,24.27,8743.44
206,7.390600,7.304400,24.34,8767.78
207,7.390600,7.298000,24.74,8792.52
208,7.390600,7.304000,24.55,8817.07
209,7.390600,7.302400,24.36,8841.43
210,7.390600,7.330800,118.36,8959.79
211,7.390600,7.262200,26.23,8986.01
212,7.390600,7.353000,24.79,9010.80
213,7.390600,7.370000,24.61,9035.41
214,7.390600,7.335400,24.78,9060.19
215,7.390600,7.314200,24.31,9084.50
216,7.390600,7.334400,24.23,9108.73
217,7.390600,7.305800,24.21,9132.94
218,7.390600,7.327200,24.38,9157.32
219,7.390600,7.360400,24.35,9181.67
220,7.390600,7.371000,118.17,9299.84
221,7.390600,7.342400,26.32,9326.17
222,7.390600,7.321400,24.33,9350.50
223,7.401200,7.401200,24.76,9375.26
224,7.401200,7.359400,24.72,9399.98
225,7.401200,7.352600,24.26,9424.24
226,7.401200,7.351400,24.41,9448.65
227,7.401200,7.347400,24.44,9473.09
228,7.401200,7.305200,24.24,9497.32
229,7.401200,7.322800,24.67,9522.00
230,7.401200,7.371600,119.35,9641.35
231,7.401200,7.338600,25.24,9666.59
232,7.401200,7.324800,24.32,9690.91
233,7.401200,7.382600,24.33,9715.24
234,7.443600,7.443600,54.22,9769.46
235,7.443600,7.320000,24.35,9793.81
236,7.443600,7.340400,24.79,9818.59
237,7.443600,7.380400,24.13,9842.73
238,7.443600,7.359200,24.52,9867.24
239,7.443600,7.381600,25.10,9892.34
240,7.443600,7.340200,117.40,10009.74
241,7.443600,7.398000,26.61,10036.35
242,7.443600,7.367600,25.24,10061.59
243,7.443600,7.413000,24.70,10086.29
244,7.443600,7.438600,24.29,10110.59
245,7.443600,7.375000,24.36,10134.95
246,7.443600,7.400800,24.24,10159.19
247,7.443600,7.424400,24.26,10183.45
248,7.443600,7.367200,24.17,10207.63
249,7.443600,7.411600,24.66,10232.29
250,7.443600,7.393800,116.68,10348.97
251,7.443600,7.418800,25.83,10374.80
252,7.443600,7.422600,24.44,10399.24
253,7.443600,7.408600,24.25,10423.48
254,7.443600,7.354400,24.23,10447.72
255,7.443600,7.425800,24.42,10472.13
256,7.447200,7.447200,24.51,10496.64
257,7.447200,7.432600,25.15,10521.79
258,7.465800,7.465800,24.18,10545.98
259,7.465800,7.448800,24.28,10570.26
260,7.465800,7.405400,120.22,10690.48
261,7.485200,7.485200,26.36,10716.84
262,7.485200,7.472400,24.53,10741.37
263,7.485200,7.427400,24.62,10765.99
264,7.485200,7.475200,24.67,10790.66
265,7.485200,7.409200,25.01,10815.67
266,7.485200,7.414400,24.59,10840.26
267,7.485200,7.435000,24.25,10864.51
268,7.485200,7.478600,24.72,10889.23
269,7.485200,7.437800,24.42,10913.65
270,7.485200,7.463200,118.19,11031.84
271,7.485200,7.456000,26.18,11058.02
272,7.485200,7.453600,24.64,11082.66
273,7.494800,7.494800,53.82,11136.49
274,7.512800,7.512800,25.32,11161.81
275,7.512800,7.428600,24.58,11186.39
276,7.512800,7.492400,24.56,11210.95
277,7.512800,7.490000,24.40,11235.35
278,7.512800,7.504400,25.19,11260.55
279,7.512800,7.508000,24.40,11284.94
280,7.520200,7.520200,117.71,11402.65
281,7.520200,7.473000,25.83,11428.48
282,7.520200,7.496000,24.71,11453.19
283,7.520200,7.456200,24.61,11477.80
284,7.520200,7.470200,24.44,11502.25
285,7.520200,7.417000,24.53,11526.78
286,7.520200,7.480000,24.68,11551.46
287,7.530000,7.530000,24.26,11575.72
288,7.530000,7.468400,24.52,11600.24
289,7.557200,7.557200,24.18,11624.42
290,7.557200,7.482000,117.46,11741.88
291,7.592200,7.592200,25.56,11767.44
292,7.592200,7.532000,25.24,11792.68
293,7.592200,7.500800,24.55,11817.23
294,7.592200,7.468000,24.29,11841.52
295,7.592200,7.468800,24.47,11865.99
296,7.592200,7.458200,24.36,11890.35
297,7.592200,7.546200,24.65,11915.00
298,7.592200,7.532200,24.43,11939.43
299,7.592200,7.566000,25.00,11964.43
