generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s
0,3.565400,3.565400,115.06,115.06
1,3.600200,3.600200,112.19,227.25
2,3.797400,3.797400,112.44,339.69
3,3.797400,3.743800,113.02,452.71
4,3.988600,3.988600,115.06,567.77
5,4.143000,4.143000,116.02,683.79
6,4.143000,4.128600,112.11,795.91
7,4.171000,4.171000,112.99,908.89
8,4.249800,4.249800,113.73,1022.63
9,4.249800,4.201200,113.77,1136.40
10,4.437200,4.437200,114.52,1250.91
11,4.506600,4.506600,115.90,1366.81
12,4.506600,4.430600,114.89,1481.70
13,4.506600,4.500400,118.15,1599.85
14,4.606600,4.606600,116.61,1716.45
15,4.606600,4.551800,116.34,1832.79
16,4.760000,4.760000,117.06,1949.85
17,4.760000,4.695800,117.12,2066.97
18,4.760000,4.644600,117.86,2184.82
19,4.787400,4.787400,117.67,2302.49
20,4.878800,4.878800,115.76,2418.25
21,4.878800,4.805000,24.77,2443.02
22,4.878800,4.779000,23.96,2466.98
23,5.007000,5.007000,24.03,2491.01
24,5.007000,4.971400,24.04,2515.05
25,5.007000,4.845800,24.26,2539.32
26,5.007000,4.984800,24.07,2563.39
27,5.007000,4.978800,24.20,2587.59
28,5.007000,4.985400,24.17,2611.76
29,5.192000,5.192000,24.31,2636.07
30,5.192000,5.032200,117.51,2753.58
31,5.192000,5.165800,25.94,2779.52
32,5.220600,5.220600,24.08,2803.60
33,5.264000,5.264000,24.41,2828.01
34,5.264000,5.163600,24.47,2852.48
35,5.264000,5.164800,24.52,2877.00
36,5.376400,5.376400,24.46,2901.46
37,5.376400,5.356200,24.08,2925.54
38,5.376400,5.294600,24.07,2949.61
39,5.619400,5.619400,53.30,3002.91
40,5.619400,5.324400,118.18,3121.09
41,5.619400,5.418200,25.12,3146.22
42,5.619400,5.494200,24.04,3170.26
43,5.619400,5.502400,24.16,3194.42
44,5.619400,5.364200,24.54,3218.96
45,5.619400,5.452200,24.52,3243.48
46,5.619400,5.476600,24.24,3267.72
47,5.619400,5.374200,24.77,3292.49
48,5.619400,5.464000,24.77,3317.26
