generation,rmse,nrmse,pop_std,mean_pred_std,pct95_pred_std,surrogate_rho,n_train,train_time_s
20,0.2117197826486391,1.1025587513819948,0.19202585112426923,0.045850154012441635,0.06732330061495304,0.4198,2000,8.06581974029541
30,0.1493442372808197,0.576969644698034,0.25884245151056656,0.07923302054405212,0.11936410181224345,0.6377,2280,5.421199560165405
40,0.1714383522104623,0.501470349404797,0.3418713637086324,0.07104595750570297,0.13671383261680603,0.6879,2560,7.531993865966797
50,0.17582667238258734,0.445729166623198,0.39446974878182994,0.06090983375906944,0.10902026705443858,0.7913,2840,6.805359125137329
60,0.2134140423149351,0.4579149591270994,0.466056061417508,0.05605997517704964,0.10913003124296665,0.8363,3120,8.010786771774292
70,0.19799164484274565,0.3533320137226814,0.5603558046063234,0.0585341639816761,0.12199316881597042,0.8345,3400,9.495882034301758
80,0.18943929660880504,0.33572258747978256,0.5642733127696188,0.059389628469944,0.10912345200777054,0.7484,3680,7.996519327163696
90,0.18875087179550867,0.3007321637743276,0.6276377937983022,0.07076966017484665,0.11970689110457897,0.5807,3960,8.461050987243652
100,0.15446117713502797,0.2238901663642017,0.6898971028667971,0.06628182530403137,0.1267491966485977,0.5589,4240,8.325145721435547
110,0.17529098712133126,0.22436681826989407,0.7812696568637489,0.10999038815498352,0.13475917503237725,0.7122,4520,7.459004163742065
120,0.20492119075661563,0.251539139305165,0.814669205447217,0.062076956033706665,0.09683562144637108,0.7916,4800,8.996021509170532
130,0.18047462753470586,0.21053938983073078,0.8572012471386169,0.05226566642522812,0.0820156693458557,0.7741,5080,13.214433193206787
140,0.21337222430824693,0.2311288628203484,0.9231742920575725,0.06503064185380936,0.12424323968589306,0.7151,5360,10.11930799484253
150,0.20975148766291268,0.21154353673756357,0.9915286985256654,0.05918034911155701,0.19090522676706315,0.4935,5640,17.65929126739502
160,0.2594751204509106,0.24599263432688384,1.0548084952255552,0.07067007571458817,0.15073885694146155,0.7227,5920,11.257329225540161
170,0.2561259709061198,0.2419951321235439,1.0583930703835887,0.06408596783876419,0.11738508529961109,0.7191,6200,13.452999591827393
180,0.26672813979002974,0.24956364739089615,1.0687780154625186,0.05569741874933243,0.09145052470266819,0.3991,6480,13.158945083618164
190,0.24271698341505685,0.2134883526110848,1.1369097210526438,0.07589854300022125,0.11234210804104805,0.3209,6760,17.404292345046997
200,0.22334769247976632,0.1980232338519366,1.1278862996791832,0.0697726309299469,0.11161646507680416,0.6757,7040,18.44480848312378
210,0.28113163305834654,0.24423300031541503,1.1510796358202156,0.0639689713716507,0.11777173951268197,0.4617,7320,15.77546215057373
220,0.2886933579331219,0.2496740401300091,1.1562810365979372,0.08229909092187881,0.1239474132657051,0.4873,7600,17.268970727920532
230,0.2707126507822092,0.24420534960126114,1.1085451290245247,0.0736316367983818,0.1271473601460457,0.6318,7880,14.19971776008606
240,0.2270649953983883,0.19503249292240546,1.1642418757818325,0.0870879590511322,0.1788872443139553,0.6743,8160,17.551137685775757
250,0.26437439572862154,0.2232054141265901,1.1844443682655592,0.09453821182250977,0.24759032428264618,0.6682,8440,16.8279709815979
260,0.24045700584998375,0.20437268387223642,1.1765613745147343,0.08954599499702454,0.16574817895889282,0.525,8720,19.109329223632812
270,0.2473671916365153,0.21044824003005483,1.1754300801051505,0.06032266095280647,0.14727482870221137,0.8383,9000,21.16138982772827
280,0.2847735814109739,0.23734693221301464,1.1998199376573138,0.11275383085012436,0.23140894025564193,0.5978,9280,16.58726406097412
290,0.2308688930841442,0.19903460441204152,1.1599434870440888,0.11635195463895798,0.1504472941160202,0.6618,9560,25.600247383117676
300,0.25126829320171357,0.21311264934338728,1.1790397894066171,0.08223024010658264,0.10993479825556278,0.2767,9840,23.625012636184692
310,0.29689429485155483,0.2439969680378879,1.2167950169178046,0.1077394112944603,0.12963709309697152,0.1989,10120,29.674286603927612
320,0.2915280273607164,0.24671703051103933,1.1816291188202837,0.09770257025957108,0.17076142504811287,0.6,10400,24.860843181610107
330,0.2586380367150173,0.21704057307994,1.1916575460743746,0.09122103452682495,0.1312366969883442,0.7062,10680,22.136687994003296
340,0.38254507016854045,0.3101889821029352,1.2332645330439045,0.05826032534241676,0.0741691954433918,0.8437,10960,23.537420749664307
350,0.3474579420632132,0.28381241979004973,1.2242520687440148,0.08636493980884552,0.12054874040186406,0.7777,11240,25.432222843170166
360,0.22456352510575878,0.19221176375650809,1.1683131183907847,0.09193748235702515,0.1717728555202484,0.7226,11520,36.16447734832764
370,0.3084783692705689,0.26029900065977546,1.1850924071497546,0.07985178381204605,0.11779959760606289,0.6439,11800,26.312058925628662
380,0.2390636510956646,0.197245583986781,1.212010156393089,0.15325449407100677,0.17765738815069199,0.5514,12080,39.49410343170166
390,0.29965361740203617,0.2531931674693636,1.1834980398445953,0.08511348068714142,0.13283644765615463,0.2961,12360,29.476306676864624
