generation,mode,n_simulated,surrogate_rho,mean_std,selected_std,train_time_s,total_sims_saved
292,surrogate,20,,0.0990,0.1375,0.43,98000
293,surrogate,20,,0.0884,0.0797,0.34,98400
294,surrogate,20,,0.0922,0.1127,0.35,98800
295,surrogate,20,,0.0832,0.0700,0.41,99200
296,surrogate,20,,0.0879,0.0931,0.41,99600
297,surrogate,20,,0.0930,0.1021,0.34,100000
298,surrogate,20,,0.0937,0.0788,0.42,100400
299,surrogate,20,,0.1000,0.0921,0.39,100800
300,control,100,0.2767,0.1082,,170.38,0
301,surrogate,20,,0.0684,0.1062,0.99,400
302,surrogate,20,,0.0589,0.0612,0.42,800
303,surrogate,20,,0.0692,0.1126,0.35,1200
304,surrogate,20,,0.0622,0.0728,0.37,1600
305,surrogate,20,,0.0607,0.0694,0.46,2000
306,surrogate,20,,0.0693,0.0763,0.48,2400
307,surrogate,20,,0.0722,0.0434,0.32,2800
308,surrogate,20,,0.0769,0.0974,0.48,3200
309,surrogate,20,,0.0706,0.0310,0.38,3600
310,control,100,0.1989,0.0889,,25.79,3600
311,surrogate,20,,0.0910,0.1247,0.37,4000
312,surrogate,20,,0.0923,0.1369,0.48,4400
313,surrogate,20,,0.1054,0.1707,0.43,4800
314,surrogate,20,,0.0966,0.1183,0.47,5200
315,surrogate,20,,0.0991,0.1405,0.38,5600
316,surrogate,20,,0.0947,0.1218,0.39,6000
317,surrogate,20,,0.0740,0.0900,0.33,6400
318,surrogate,20,,0.0782,0.0762,0.25,6800
319,surrogate,20,,0.0883,0.1528,0.37,7200
320,control,100,0.6000,0.0921,,34.43,7200
321,surrogate,20,,0.0570,0.0497,0.36,7600
322,surrogate,20,,0.0560,0.0484,0.49,8000
323,surrogate,20,,0.0562,0.0411,0.41,8400
324,surrogate,20,,0.0645,0.0329,0.37,8800
325,surrogate,20,,0.0745,0.0617,0.42,9200
326,surrogate,20,,0.0703,0.0341,0.45,9600
327,surrogate,20,,0.0762,0.0748,0.42,10000
328,surrogate,20,,0.0773,0.0439,0.53,10400
329,surrogate,20,,0.0714,0.0441,0.36,10800
330,control,100,0.7062,0.0581,,36.49,10800
331,surrogate,20,,0.0509,0.0474,0.48,11200
332,surrogate,20,,0.0562,0.0745,0.46,11600
333,surrogate,20,,0.0673,0.0778,0.42,12000
334,surrogate,20,,0.0593,0.0831,0.34,12400
335,surrogate,20,,0.0587,0.0624,0.37,12800
336,surrogate,20,,0.0659,0.1026,0.51,13200
337,surrogate,20,,0.0758,0.1129,0.45,13600
338,surrogate,20,,0.0827,0.1143,0.37,14000
339,surrogate,20,,0.0749,0.1030,0.47,14400
340,control,100,0.8437,0.0631,,30.76,14400
341,surrogate,20,,0.0664,0.0963,0.49,14800
342,surrogate,20,,0.0640,0.0707,0.41,15200
343,surrogate,20,,0.0698,0.0948,0.47,15600
344,surrogate,20,,0.0763,0.1010,0.39,16000
345,surrogate,20,,0.0802,0.1120,0.47,16400
346,surrogate,20,,0.0750,0.0638,0.46,16800
347,surrogate,20,,0.0817,0.0620,0.32,17200
348,surrogate,20,,0.0947,0.0794,0.42,17600
349,surrogate,20,,0.0826,0.0798,0.37,18000
350,control,100,0.7777,0.0880,,38.98,18000
351,surrogate,20,,0.1017,0.1358,0.33,18400
352,surrogate,20,,0.1029,0.1121,0.35,18800
353,surrogate,20,,0.1016,0.0989,0.39,19200
354,surrogate,20,,0.0968,0.0971,0.42,19600
355,surrogate,20,,0.1226,0.1246,0.35,20000
356,surrogate,20,,0.1305,0.1153,0.38,20400
357,surrogate,20,,0.1237,0.0876,0.31,20800
358,surrogate,20,,0.1418,0.1013,0.40,21200
359,surrogate,20,,0.1465,0.1027,0.33,21600
360,control,100,0.7226,0.1552,,40.93,21600
361,surrogate,20,,0.1182,0.1598,0.46,22000
362,surrogate,20,,0.1214,0.1709,0.44,22400
363,surrogate,20,,0.1317,0.1613,0.38,22800
364,surrogate,20,,0.1293,0.1585,0.48,23200
365,surrogate,20,,0.1462,0.1959,0.48,23600
366,surrogate,20,,0.1448,0.1719,0.34,24000
367,surrogate,20,,0.1496,0.1879,0.43,24400
368,surrogate,20,,0.1459,0.1619,0.42,24800
369,surrogate,20,,0.1545,0.1572,0.32,25200
370,control,100,0.6439,0.1656,,29.75,25200
371,surrogate,20,,0.0791,0.0922,0.44,25600
372,surrogate,20,,0.0817,0.1059,0.49,26000
373,surrogate,20,,0.0849,0.1190,0.43,26400
374,surrogate,20,,0.0752,0.0977,0.42,26800
375,surrogate,20,,0.0939,0.1786,0.37,27200
376,surrogate,20,,0.0942,0.1386,0.48,27600
377,surrogate,20,,0.0902,0.0826,0.39,28000
378,surrogate,20,,0.0925,0.1087,0.46,28400
379,surrogate,20,,0.0986,0.1242,0.32,28800
380,control,100,0.5514,0.1036,,33.59,28800
381,surrogate,20,,0.0687,0.0853,0.42,29200
382,surrogate,20,,0.0588,0.0830,0.42,29600
383,surrogate,20,,0.0625,0.0845,0.45,30000
384,surrogate,20,,0.0597,0.0891,0.33,30400
385,surrogate,20,,0.0556,0.0639,0.48,30800
386,surrogate,20,,0.0664,0.0706,0.43,31200
387,surrogate,20,,0.0719,0.0948,0.37,31600
388,surrogate,20,,0.0703,0.0678,0.39,32000
389,surrogate,20,,0.0715,0.0864,0.33,32400
390,control,100,0.2961,0.0763,,28.29,32400
391,surrogate,20,,0.0685,0.0749,0.33,32800
392,surrogate,20,,0.0614,0.0395,0.47,33200
393,surrogate,20,,0.0542,0.0298,0.43,33600
394,surrogate,20,,0.0520,0.0242,0.38,34000
395,surrogate,20,,0.0656,0.0504,0.45,34400
396,surrogate,20,,0.0661,0.0508,0.43,34800
397,surrogate,20,,0.0635,0.0537,0.45,35200
398,surrogate,20,,0.0612,0.0388,0.36,35600
399,surrogate,20,,0.0799,0.0913,0.36,36000
